MAKE,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,clase,CO2EMISSIONS
0,0,1.0,1,0,0,9.9,6.7,8.5,33,0,196
0,0,2.4,1,1,0,11.2,7.7,9.6,29,0,221
0,0,1.5,1,2,0,6.0,5.8,5.9,48,0,136
0,1,3.5,6,3,0,12.7,9.1,11.1,25,0,255
0,1,3.5,6,3,0,12.1,8.7,10.6,27,0,244
0,2,3.5,6,3,0,11.9,7.7,10.0,28,0,230
0,2,3.5,6,3,0,11.8,8.1,10.1,28,0,232
0,2,3.7,6,3,0,12.8,9.0,11.1,25,0,255
0,2,3.7,6,1,0,13.4,9.5,11.6,24,0,267
0,0,2.4,1,0,0,10.6,7.5,9.2,31,0,212
0,0,2.4,1,1,0,11.2,8.1,9.8,29,0,225
0,0,3.5,6,0,0,12.1,8.3,10.4,27,0,239
1,3,5.9,12,4,0,18.0,12.6,15.6,18,0,359
1,4,5.9,12,4,0,18.0,12.6,15.6,18,0,359
1,5,4.7,8,5,0,17.4,11.3,14.7,19,0,338
1,5,4.7,8,1,0,18.1,12.2,15.4,18,0,354
1,5,4.7,8,5,0,17.4,11.3,14.7,19,0,338
1,5,4.7,8,1,0,18.1,12.2,15.4,18,0,354
1,3,5.9,12,4,0,18.0,12.6,15.6,18,0,359
2,0,1.0,1,6,0,9.9,7.4,8.8,32,0,202
2,0,1.0,1,7,0,11.5,8.1,10.0,28,0,230
2,0,1.0,1,1,0,10.8,7.5,9.3,30,0,214
2,4,1.0,1,7,0,11.5,8.1,10.0,28,0,230
2,4,1.0,1,7,0,11.5,8.1,10.0,28,0,230
2,4,1.0,1,1,0,10.8,7.5,9.3,30,0,214
2,2,1.0,1,7,0,12.0,8.1,10.2,28,0,235
2,2,1.0,6,7,0,12.8,8.6,10.9,26,0,251
2,2,1.0,6,7,1,9.8,6.4,8.3,34,0,224
2,2,1.0,6,7,0,13.1,8.8,11.2,25,0,258
2,2,1.0,6,7,1,9.8,6.4,8.3,34,0,224
2,2,1.0,6,7,0,13.1,8.8,11.2,25,0,258
2,2,1.0,8,7,0,13.5,8.6,11.3,25,0,260
2,2,1.0,6,7,1,10.0,6.4,8.4,34,0,227
2,6,1.0,6,7,0,13.1,8.8,11.2,25,0,258
2,6,1.0,8,7,0,14.7,9.7,12.5,23,0,288
2,6,6.3,12,7,0,18.2,12.6,15.7,18,0,361
